id,abbrev,name,is_public_domain,lang_code,lang_name,country,has_text
2,ABA,Bybel vir almal,False,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,True
5,AFR53,Afrikaans 1933/1953,False,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,True
6,AFR83,Afrikaans 1983,False,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,True
7,ALBB,Albanian Bible 1994,True,,,,True
12,ASV,American Standard Version,True,,,,True
25,BHNT,Navarro-Labourdin Basque,True,,,,True
32,BDSC,Bhaibheri Dzvene MuChiShona Chanhasi,False,sna,Shona,BW;ZA;ZM;ZW,True
42,CPDV,Catholic Public Domain Version,True,,,,True
43,CSBS,Chinese Standard Bible (Simplified Script),True,,,,True
44,ces1613,Czech Kralická Bible 1613,True,,,,True
45,CSLAV,Библия на церковнославянском языке,True,,,,True
49,DA1871,Danske Bibel 1871/1907,True,,,,True
50,DB,Die Boodskap,False,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,True
51,DELUT,Luther Bible 1912,True,,,,True
54,DB1885,Diodati Bible 1885,True,,,,True
57,deuelo,German Unrevised Elberfelder Bible,True,,,,True
58,ELB71,Elberfelder 1871,True,,,,True
60,FI1776,Finnish 1776,True,,,,True
62,FMAR,Martin 1744,True,,,,True
64,JND,Bible J.N. Darby,True,,,,True
65,GANTP,Albrecht NT und Psalmen,True,,,,True
71,HAU,Littafi Mai Tsarki,False,hau,Hausa,BF;BJ;CM;NE;NG;TD,True
74,BHN,Biblia Habari Njema,False,swh,Swahili,BI;KE;MZ;RW;SO;TZ;UG,True
77,IGBOB,Bible Nso,False,ibo,Igbo,NG,True
81,JA1955,Colloquial Japanese (1955),True,,,,True
87,SOM08,Kitaabka Quduuska Ah,False,som,Somali,DJ;ET;KE;SO,True
93,LSG,Bible Segond 1910,True,,,,True
96,MG1865,Malagasy Bible,True,plt,Malgache,MG,True
117,NLV,Nuwe Lewende Vertaling,False,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,True
121,Bibel1930,Bibel 1930 - Bibelselskapet,True,,,,True
124,NSO51,BIBELE,False,nso,"Sotho, Northern",BW;ZA,True
130,TOJB2011,The Orthodox Jewish Bible,True,,,,True
131,OST,Ostervald,True,,,,True
132,PBG,Biblia Gdańska,True,,,,True
135,POTL,Matthew and Acts,True,,,,True
138,polUBG,Updated Gdansk Bible,True,,,,True
147,RVES,Reina-Valera Antigua,True,,,,True
161,SK73,Karl XII 1873,True,,,,True
164,SUV,Maandiko Matakatifu ya Mungu Yaitwayo Biblia,False,swh,Swahili,BI;KE;MZ;RW;SO;TZ;UG,True
166,SVEN,Svenska 1917,True,,,,True
175,KJV,Thai KJV,True,,,,True
177,TLAB,Ang Biblia,True,,,,True
182,TR1624,Elzevir Textus Receptus 1624,True,,,,True
183,TR1894,Scrivener’s Textus Receptus 1894,True,,,,True
184,TSO89,BIBELE Mahungu Lamanene,False,tso,Tsonga,MZ;SZ;ZA;ZW,True
185,TSW70,Setswana 1970,False,tsn,Setswana,BW;NA;ZA;ZM;ZW,True
187,urdgvu,"Urdu Geo Version, Urdu Script",True,,,,True
188,UKRK,"Біблія в пер. П.Куліша та І.Пулюя, 1905",True,,,,True
195,SAT,Holy Bible: Easy-to-Read Translation,True,,,,True
206,engWEBUS,"World English Bible, American English Edition, without Strong's Numbers",True,,,,True
207,YCE,Yoruba Bible,False,yor,Yoruba,BJ;NG,True
242,DIK,Lëk yam,False,dik,Dinka Southwestern,SD;SS,True
255,nko,Bulu Ntam Pɔpwɛ mʋ́a Israel Ɩlʋ,False,nko,Nkonya,GH,True
256,NSO00,BIBELE Taba yea Botse,False,nso,"Sotho, Northern",BW;ZA,True
273,SSO61-SO,Sesotho 1909/1961 (SO),False,sot,Southern Sotho,LS;ZA,True
274,SSO89SO,BIBELE,False,sot,Southern Sotho,LS;ZA,True
278,TSW08NO,BAEBELE e e Boitshepo,False,tsn,Setswana,BW;NA;ZA;ZM;ZW,True
280,VEN98,BIVHILI KHETHWA Mafhungo Madifha,False,ven,Venda,BW;ZA;ZW,True
281,XHO75,IZIBHALO EZINGCWELE,False,xho,Xhosa,BW;LS;ZA,True
282,XHO96,IBHAYIBHILE,False,xho,Xhosa,BW;LS;ZA,True
286,ZUL59,IBHAYIBHELI ELINGCWELE,False,zul,Zulu,BW;LS;MZ;SZ;ZA,True
299,NGBM,Nouveau Testament en Ngienboum,False,nnh,Ngiemboon,CM,True
301,RNT,Kirimi New Testament,False,rim,Nyaturu,TZ,True
312,CSBT,Chinese Standard Bible (Traditional Script),True,,,,True
318,NRLB2024,Revised New Latvian Inter-confessional Bible 2024,True,,,,True
320,TSI,Plain Indonesian Translation,True,,,,True
331,bjvNT,KƗLӘ-MƗNDƗ KƗ SƗGƗ,False,bjv,Bedjond,TD,True
336,bss,Melɛ̌ Mékɔ̄ɔ̄lē,False,bss,Akoose,CM,True
342,dwrNT,Ooratha Caaquwaa,False,dwr,Dawro,ET,True
343,anv,Ŋwɛ menomenyɛɛ́ mekɛ́,False,anv,Denya,CM;NG,True
344,NTKM2009,Nouvo Testaman dan Kreol Morisien,False,mfe,Mauritian,MU,True
350,atgNT,Ebe-No-Pfuasẹ Ishobọ Onogbọ,False,atg,Ivbie North-Okpela-Arhe,NG,True
351,BYSB,Bibiliya Yera,False,kin,Rwandan,BI;CD;RW;TZ;UG,True
354,daa,Jamaw ta Marbinto: Kabarre ta Gala ɗo bi ka Iisa Masi iŋ daŋla,False,daa,Dangaléat,TD,True
367,ninNT,Ungbamvu Ku Abachi Azhi Ahe̲he̲ Ka,False,nin,Ninzo,NG,True
372,ONDB,Ombiimbeli Ondjapuki,False,ndo,Ndonga,AO;NA,True
379,cme,Diiloŋ-nelma Tobisĩfɛlɛnni,False,cme,Cerma,BF;CI,True
381,box,Dónbeenì páaníi fĩnle vũahṹ,False,box,Buamu,BF;ML,True
384,DIEMDC,Dikateny Iombonana Eto Madagasikara,False,plt,Malgache,MG,True
387,BIRD,Bibiliya Ijambo ry'imana D,False,kin,Rwandan,BI;CD;RW;TZ;UG,True
388,ken,Kenyang,False,ken,Kenyang,CM,True
393,BHND,Biblia Habari Njema,False,swh,Swahili,BI;KE;MZ;RW;SO;TZ;UG,True
395,BIR,Bibiliya Ijambo ry'imana,False,kin,Rwandan,BI;CD;RW;TZ;UG,True
396,DIEM,DIEM PROTESTANTA,False,plt,Malgache,MG,True
418,TSO89,BIBELE Mahungu Lamanene,False,tso,Tsonga,MZ;SZ;ZA;ZW,True
426,kdlDBL,Tsikimba New Testament,False,kdl,Tsikimba,NG,True
429,tswNT,Tsishingini,False,tsw,Tsishingini,NG,True
430,KBNT,Kinyarwanda Bibiliya Ntagatifu,False,kin,Rwandan,BI;CD;RW;TZ;UG,True
434,GM,Geeshsha Maxaafa,True,gmv,Gamo,ET,True
435,gofRNT,Ooratha Caaquwa Goofatho,False,gof,Gofa,ET,True
436,AOV1961,Ebaibuli,False,teo,Teso,KE;UG,True
437,ncu,Abware̱se̱ŋ Wo̱re̱-ɔ,False,ncu,Chumburung,GH,True
444,MB80,BIBLE MBAÏ 1980,False,myb,Mbay,CF;NG;TD,True
445,SARDC,Bibəl ta Sar̄,False,mwm,Sar,TD,True
446,BS,Bible sar,False,mwm,Sar,TD,True
450,SND12,IsiNdebele 2012 Translation,False,nbl,South Ndebele,ZA,True
456,MQB,Aban 'am wiya awan,False,mqb,Mbuko,CM,True
461,nhu,Noone,False,nhu,Noone,CM,True
469,OKYB,Ombibeli Iyapuki,False,kua,Kuanyama,AO;NA,True
471,DBNT,Etestamende Epe Moludhimba,False,dhm,Zemba,AO;NA,True
472,La79,Lango New Testament,False,laj,Lango (Uganda),UG,True
474,gngNT,Ngangam,False,gng,Ngangam,BJ;GH;TG,True
484,sxb,Endagano Empia,False,sxb,Suba,KE;TZ;UG,True
500,KWB,Bible,False,gkp,Guinea Kpelle,GN;LR,True
501,ADT19,Al-Kitaab al-Mukhaddas be l-arabi al-daariji hana Tchad,False,shu,Chadian Arabic (Roman script),CM;NE;NG;TD,True
502,ع.د.ت19,الكتاب المقدس بالعربي الدارجي هنا تشاد,False,shu,Chadian Arabic,CM;NE;NG;TD,True
505,dwrENT,Ooratha Caaquwaa,False,dwr,Dawro,ET,True
506,gofENT,ኦራ ጫቁዋ ጎፋ,False,gof,Gofa,ET,True
516,SBA2015,Maktub gə́ To gə Kəmee,False,sba,Ngambay,CM;NG;TD,True
526,CSIA,Hungarian Bible by Lajos Csia,True,,,,True
548,KKG20,Khoekhoegowab 2020,False,naq,Khoekhoe,BW;NA;ZA,True
550,BEGDC,Bible en langue guiziga,False,giz,South Giziga,CM,True
551,MOF,MEY HAYNA WAYNA MA YEZU KRISTE MA MEVEY,False,mfk,North Mofu,CM,True
552,BBBLI,Baibo Busansulushi Bwa Libuku Ili,False,leh,Lenje,ZM,True
555,KABI,New Testament,False,kbp,Kabiyè,BJ;GH;TG,True
557,Massana,BIBALDA TA PELDETTA,False,mcn,Masana,CM;TD,True
558,MSTD,الترجمة المغربية القياسية,False,ary,Moroccan Arabic,DZ;EH;MA,True
559,Aco85,Acoli Baibul,False,ach,Acholi (Acoli),SS;UG,True
564,GMN,Uthenga Uweme wa Yesu Kristu Wolembewa na Maliko,False,nse,Nsenga,MZ;ZM;ZW,True
604,SWT,Siswati 1996 Bible,False,ssw,Swazi,LS;MZ;SZ;ZA,True
607,TSO29,Xitsonga (Bibele),False,tso,Tsonga,MZ;SZ;ZA;ZW,True
620,Kitabuna,Kisin Kiraan Kitabuna,True,yal,Yalunka,GN;ML;SL;SN,True
627,MBB,Livulu lya Shukulu Kalunga,False,mck,Mbunda,AO;ZM,True
810,FGN2013,Fare Ge Ndwara,False,kia,Kim,TD,True
812,MW2013,Musamu Wamubwete 2013,False,beq,Beembe (Congo),CG,True
813,FONDC,MAWUXÓWÉMA,False,fon,Fon,BJ;TG,True
814,MBC,Baiboly Katolika,False,plt,Malgache,MG,True
815,GUL04,Nouveau Testament en Gulay 2004,False,gvl,Gulay,TD,True
817,Fon13,MAWUXÓWÉMA,False,fon,Fon,BJ;TG,True
819,HHBD,Hindi Holy Bible,True,,,,True
820,HHBR,Hindi Holy Bible,True,,,,True
823,VULG,Vulgata latina,True,,,,True
825,Lozi09,Bibele ye Kenile (Catholic Edition),False,loz,Lozi,BW;NA;ZM;ZW,True
839,NTLD13,Le Nouveau Testament en langue Dida,False,gud,Yocoboué Dida,CI,True
855,BA,Bible azumeina,False,mpg,Marba,TD,True
856,BULU09,Bible en langue Bulu,False,bum,Bulu (Cameroon),CM,True
